0.005256	-0.00642	0.404897
0.005166	-0.006499	0.405209
0.005244	-0.00644	0.404409
0.005329	-0.006328	0.404507
0.005441	-0.006401	0.404938
0.005477	-0.006488	0.404659
0.005464	-0.006477	0.404544
0.005486	-0.006417	0.404563
0.005381	-0.006401	0.404227
0.005335	-0.006353	0.404473
0.005323	-0.006353	0.404472
0.005408	-0.006365	0.404706
0.005313	-0.006375	0.404797
0.005277	-0.006353	0.404375
0.005252	-0.006349	0.404415
0.005238	-0.006377	0.404641
0.005213	-0.00645	0.404466
0.005227	-0.00646	0.404194
0.005283	-0.006541	0.404634
0.005324	-0.006429	0.404516
0.005383	-0.006477	0.404257
0.005385	-0.006447	0.404178
0.005481	-0.006435	0.404066
0.005364	-0.006534	0.404487
0.005267	-0.006439	0.404457
0.005283	-0.006329	0.404474
0.005289	-0.006379	0.404675
0.005288	-0.006431	0.404735
0.005324	-0.006394	0.404565
0.005354	-0.006474	0.404742
0.005402	-0.006546	0.404582
0.005395	-0.00649	0.404401
0.005333	-0.006507	0.404274
0.005272	-0.00663	0.404138
0.00518	-0.006873	0.404057
0.005189	-0.006582	0.404065
0.00518	-0.006411	0.404449
0.005204	-0.006383	0.404784
0.00519	-0.006387	0.404669
0.005313	-0.006339	0.40466
0.005372	-0.006421	0.404785
0.005404	-0.00656	0.404828
0.005395	-0.00656	0.404606
0.005356	-0.006538	0.404252
0.005296	-0.006528	0.404192
0.005269	-0.006734	0.403605
0.005185	-0.006527	0.40367
0.005182	-0.006452	0.404048
0.005199	-0.006426	0.404586
0.005218	-0.006446	0.404696
0.005306	-0.006413	0.404608
0.005452	-0.006335	0.404443
0.005581	-0.006359	0.40432
0.005646	-0.006405	0.404183
0.005636	-0.006495	0.40422
0.005586	-0.006439	0.403693
0.005574	-0.006494	0.404539
0.005754	-0.006568	0.40363
0.005929	-0.006463	0.403932
0.006101	-0.006451	0.40406
0.006431	-0.006456	0.404399
0.006899	-0.006464	0.404021
0.007344	-0.006424	0.403355
0.00804	-0.006558	0.403683
0.008795	-0.006645	0.403742
0.009607	-0.006731	0.403333
